p_pv;p_vue;p_ue;p_ut;p_ut_tot;t_ext
0;0.210774194;0;0;0;0.51
0;0.169774194;0;0;0;-0.01
0;0.144548387;0;0;0;-0.53
0;0.159354839;0;0;0;-1.05
0;0.143741935;0;0;0;-1.57
0;0.135354839;0;4.507;180.28;-2.08
0;0.134548387;0;4.527;181.08;-2.6
0;0.129709677;0;4.545;181.8;-3.12
0.043515;0.165225806;0;3.8055;152.22;-1.09
0.1160625;0.206129032;0;3.37175;134.87;-0.03
0.27225;0.351032258;0;0;0;1.63
0.0615;0.270548387;0;0;0;2.56
0.0847575;0.235548387;0;2.684;107.36;2.8
0.060135;0.303290323;0;2.86825;114.73;2.7
0.053175;0.287967742;0;3.0525;122.1;2.46
0.0081975;0.192483871;0;3.31775;132.71;3.13
0;0.251129032;0;0;0;2.4
0;0.234967742;0;0;0;1.66
0;0.291258065;0;3.95175;158.07;0.64
0;0.352354839;0;4.05275;162.11;-1.6
0;0.383967742;0;4.154;166.16;-1.7
0;0.374741935;0;4.13375;165.35;-2.1
0;0.253064516;0;4.1135;164.54;-2.64
0;0.187387097;0;0;0;-3.17
0;0.160870968;0;0;0;-3.37
0;0.164967742;0;0;0;-3.54
0;0.151612903;0;0;0;-3.64
0;0.126258065;0;0;0;-3.78
0;0.115483871;0;0;0;-3.78
0;0.127322581;0;3.7515;150.06;-3.78
0;0.162419355;0;3.556;142.24;-3.78
0;0.131580645;0;3.3605;134.42;-2.77
0.30024;0.24116129;0;3.16275;126.51;-2.26
0.4694025;0.203967742;0;2.72425;108.97;-0.49
0.5897325;0.239064516;0;0;0;1.33
0.6445575;0.216935484;0;0;0;1.64
0.6413175;0.282354839;0;1.95335;78.134;2
0.568605;0.27016129;0;2.0635;82.54;2.08
0.422685;0.250935484;0;2.1714;86.856;1.88
0.2495475;0.201193548;0;2.4254;97.016;1.05
0;0.271741935;0;0;0;0.01
0;0.285387097;0;0;0;0.51
0;0.302451613;0;2.9515;118.06;0.07
0;0.295032258;0;2.9715;118.86;0.21
0;0.309967742;0;2.99175;119.67;-0.17
0;0.275064516;0;3.039;121.56;-0.74
0;0.267677419;0;3.0885;123.54;-1.46
0;0.189580645;0;0;0;-2.13
0;0.169419355;0;0;0;-2.59
0;0.142548387;0;0;0;-2.77
0;0.130032258;0;0;0;-2.23
0;0.121548387;0;0;0;-2.09
0;0.130580645;0;0;0;-2.64
0;0.154096774;0;3.42125;136.85;-2.38
0;0.155290323;0;3.2525;130.1;-2.23
0;0.160354839;0;3.084;123.36;-2.7
0.3086625;0.217096774;0;2.9155;116.62;-0.39
0.46785;0.184483871;0;2.55575;102.23;0.73
0.589935;0.188967742;0;0;0;0.56
0.645825;0.175064516;0;0;0;1.78
0.64284;0.213419355;0;1.843225;73.729;1.62
0.571455;0.329290323;0;1.84995;73.998;1.6
0.3984075;0.313903226;0;1.8567;74.268;1.47
0.206625;0.236580645;0;2.083725;83.349;1.12
0;0.300290323;0;0;0;0.7
0;0.28716129;0;0;0;0.54
0;0.278935484;0;2.55575;102.23;0.32
0;0.377225806;0;2.5715;102.86;0.28
0;0.395774194;0;2.58725;103.49;0.51
0;0.263;0;2.6075;104.3;0.43
0;0.254677419;0;2.63;105.2;-0.02
0;0.201483871;0;0;0;-0.42
0;0.198;0;0;0;-0.5
0;0.151967742;0;0;0;-0.76
0;0.119322581;0;0;0;-0.92
0;0.113903226;0;0;0;-0.98
0;0.120064516;0;0;0;-0.93
0;0.153935484;0;2.83225;113.29;-1.15
0;0.135548387;0;2.71525;108.61;-1.01
0;0.151967742;0;2.5985;103.94;-1.84
0.0541275;0.281774194;0;2.47935;99.174;-1.74
0.49635;0.276516129;0;2.306275;92.251;-1.93
0.574425;0.227741935;0;0;0;-0.84
0.66261;0.216645161;0;0;0;-0.78
0.501345;0.259645161;0;2.036525;81.461;-0.63
0.5822025;0.245580645;0;2.11745;84.698;-0.32
0.431685;0.286612903;0;2.196125;87.845;-0.33
0.2031375;0.233806452;0;2.492825;99.713;-0.43
0;0.22683871;0;0;0;-0.85
0;0.228741935;0;0;0;-1.34
0;0.315258065;0;3.275;131;-1.32
0;0.339064516;0;3.46175;138.47;-1.35
0;0.34816129;0;3.6505;146.02;-1.34
0;0.364903226;0;3.7875;151.5;-1.61
0;0.200677419;0;3.92475;156.99;-1.88
0;0.177741935;0;0;0;-1.84
0;0.160419355;0;0;0;-1.72
0;0.129741935;0;0;0;-2.04
0;0.115419355;0;0;0;-2.13
0;0.117774194;0;0;0;-2.23
0;0.111967742;0;0;0;-2.23
0;0.12616129;0;4.37875;175.15;-2.1
0;0.125612903;0;4.17425;166.97;-2.22
0;0.149419355;0;3.9675;158.7;-2.57
0.282555;0.189096774;0;3.7605;150.42;-2.19
0.445335;0.180096774;0;3.32;132.8;-2.51
0.5743575;0.161580645;0;0;0;-1.75
0.46506;0.160516129;0;0;0;-1.08
0.6178875;0.179451613;0;2.43665;97.466;-1.11
0.460335;0.267806452;0;2.4344;97.376;-0.87
0.4809825;0.262967742;0;2.43215;97.286;-0.79
0.1038375;0.227354839;0;2.83;113.2;-1.08
0;0.23716129;0;0;0;-1.58
0;0.231935484;0;0;0;-1.84
0;0.254548387;0;3.7785;151.14;-1.98
0;0.263645161;0;3.9315;157.26;-2.49
0;0.246064516;0;4.08425;163.37;-2.39
0;0.314774194;0;4.082;163.28;-2.12
0;0.232258065;0;4.082;163.28;-2.03
0;0.189677419;0;0;0;-1.93
0;0.158322581;0;0;0;-1.98
0;0.144967742;0;0;0;-2.3
0;0.13816129;0;0;0;-2.35
0;0.141;0;0;0;-2.4
0;0.126258065;0;0;0;-2.47
0;0.138387097;0;4.091;163.64;-2.54
0;0.161064516;0;3.873;154.92;-2.49
0;0.163645161;0;3.655;146.2;-2.82
0.23124;0.235419355;0;3.43475;137.39;-2.54
0.4171875;0.285935484;0;2.9805;119.22;-2
0.57612;0.265032258;0;0;0;-1.28
0.6193875;0.26516129;0;0;0;-0.43
0.63069;0.216677419;0;2.0725;82.9;-0.02
0.5449125;0.211483871;0;2.077;83.08;0.04
0.4184925;0.287806452;0;2.081475;83.259;0.07
0.20328;0.239064516;0;2.492825;99.713;-0.18
0;0.221354839;0;0;0;-0.9
0;0.238193548;0;0;0;-1.33
0;0.320387097;0;3.58525;143.41;-1.33
0;0.368258065;0;3.855;154.2;-1.44
0;0.303483871;0;4.12475;164.99;-1.56
0;0.266354839;0;4.2035;168.14;-1.5
0;0.210774194;0;4.27975;171.19;-1.55
0;0.180516129;0;0;0;-1.69
0;0.151064516;0;0;0;-1.63
0;0.140225806;0;0;0;-1.67
0;0.142225806;0;0;0;-1.55
0;0.135612903;0;0;0;-1.51
0;0.127;0;0;0;-1.42
0;0.156548387;0;4.536;181.44;-1.39
0;0.158387097;0;4.25075;170.03;-1.48
0;0.153548387;0;3.96525;158.61;-1.11
0.1773675;0.236580645;0;3.67975;147.19;-0.77
0.5179125;0.258032258;0;3.2885;131.54;-0.17
0.5211825;0.219774194;0;0;0;0.29
0.63228;0.217419355;0;0;0;1.05
0.6485925;0.222064516;0;2.461375;98.455;1.19
0.594165;0.312322581;0;2.41415;96.566;1.35
0.43056;0.232387097;0;2.36695;94.678;0.99
0.224865;0.173258065;0;2.74225;109.69;1.09
0;0.243354839;0;0;0;0.84
0;0.264516129;0;0;0;1.06
0;0.343225806;0;3.718;148.72;1.16
0;0.32483871;0;3.9405;157.62;0.42
0;0.324677419;0;4.16525;166.61;0.46
0;0.307064516;0;4.2215;168.86;0.53
0;0.241612903;0;4.27525;171.01;0.62
0;0.196709677;0;0;0;0.74
0;0.171129032;0;0;0;0.82
0;0.156774194;0;0;0;1.15
0;0.141451613;0;0;0;1.22
0;0.140548387;0;0;0;1.33
0;0.137225806;0;0;0;1.45
0;0.150354839;0;4.35175;174.07;1.68
