user;0_1;0_2;0_3;1_1;1_2;1_3;2_1;2_2;2_3;3_1;3_2;3_3;4_1;4_2;4_3;5_1;5_2;5_3;6_1;6_2;6_3;7_1;7_2;7_3;8_1;8_2;8_3;9_1;9_2;9_3;10_1;10_2;10_3;11_1;11_2;11_3
bta1_1;3.541;1.896;3.768;3.008;1.831;2.905;3.627;2.053;2.9815;4.706;2.628;3.125;5.521;2.971;3.964;5.501;3.07;4.253;4.082;2.197;3.469;2.942;1.839;3.113;3.185;1.846;2.908;3.279;2.097;3.2535;3.705;2.088;3.343;3.877;1.989;3.642
bta1_10;35.09;25.269;37.437;43.29;26.369;27.208;50.663;27.549;32.2935;37.306;41.362;38.936;38.176;39.671;49.345;53.294;35.069;38.574;54.282;41.968;41.926;59.689;40.06;51.926;38.318;25.145;26.895;33.752;21.449;32.2875;40.062;22.813;30.369;41.037;23.067;33.871
bta1_2;2.189;1.46;2.858;2.294;1.456;2.307;2.411;1.629;2.4895;2.231;1.468;2.55;2.227;1.503;2.748;2.204;1.588;2.582;2.247;1.772;2.465;2.261;1.602;2.63;2.299;1.55;2.439;2.208;1.689;2.6325;2.311;1.527;2.572;2.372;1.385;2.727
bta1_3;3.075;4.114;9.025;2.715;4.408;7.278;2.914;4.436;7.873;2.499;3.126;7.479;2.632;2.936;7.605;2.594;2.729;6.931;2.997;3.095;7.099;2.646;3.089;7.639;2.578;3.951;7.827;2.734;4.658;8.764;3.511;4.623;8.538;3.649;4.645;9.262
bta1_4;2.233;1.406;2.405;2.205;1.421;2.143;1.591;1.227;2.0075;1.949;1.409;2.647;1.947;1.396;2.724;2.053;1.474;2.687;2.136;1.647;2.597;1.759;1.115;2.105;7.898;3.568;1.914;6.226;4.23;2.956;4.559;4.023;2.158;2.583;1.33;2.208
bta1_5;2.183;2.059;3.37;3.707;2.851;3.762;2.201;2.347;2.9025;1.91;1.609;2.757;1.915;1.66;2.996;1.93;1.644;2.87;2.036;1.761;2.746;2.026;1.65;2.943;2.031;1.85;2.824;1.996;2.204;3.0965;2.261;1.952;2.973;2.46;1.917;3.306
bta1_6;4.371;2.359;4.017;3.841;2.333;3.337;4.068;2.47;3.4275;3.419;2.35;3.409;3.344;2.426;3.773;3.284;2.499;3.592;3.297;2.487;3.351;3.274;2.111;3.561;3.563;2.451;3.5;3.653;2.585;3.7425;4.053;2.446;3.626;4.081;2.133;4.005
bta1_7;3.833;1.127;0.508;3.838;1.267;0.321;5.448;1.395;0.364;3.589;2.801;0.648;3.365;1.173;0.716;3.355;0.732;0.18;2.881;0.515;0;0.362;0.023;0;3.835;0.528;0;4.999;1.944;0.0225;6.721;2.548;0.091;5.727;1.729;0.222
bta1_8;5.016;4.779;9.619;5.015;4.512;7.692;5.202;4.675;8.233;4.77;3.78;8.045;4.53;3.399;8.079;4.2;3.296;7.347;3.99;3.419;7.223;3.838;3.416;7.909;4.502;4.331;7.967;4.929;5.205;8.7205;5.807;4.823;8.785;5.945;4.925;9.693
bta1_9;68.165;54.317;84.44;31.084;22.976;25.996;26.831;23.049;24.1385;19.796;16.775;23.638;95.763;80.749;103.305;22.825;17.025;21.875;25.627;15.774;19.151;23.051;18.993;23.342;22.181;14.276;19.3;79.834;67.516;80.5735;29.699;16.55;26.957;88.104;57.231;101.488
bta1_c1;12.794;20.221;46.704;10.878;19.16;38.305;11.858;13.86;28.938;9.694;9.746;23.797;10.733;8.832;21.926;10.819;8.994;21.054;10.753;9.777;21.694;11.265;9.836;22.48;10.972;15.983;41.202;10.635;19.933;42.473;13.181;19.934;42.03;15.229;20.611;45.631
bta1_c2;6.158;4.704;10.383;6.102;4.658;8.284;7.024;5.08;8.9715;5.789;4.906;9.598;6.778;4.926;9.491;6.518;4.796;9.3;6.562;5.276;9.592;6.871;5.023;9.67;6.762;4.938;8.757;6.425;5.27;9.451;6.458;4.831;9.226;6.781;4.534;9.914
bta1_c3;4.791;3.617;7.867;4.751;3.59;6.255;6.025;4.321;7.4165;6.449;5.459;10.311;7.357;5.421;10.075;7.147;5.258;9.867;7.18;5.771;10.148;7.728;5.585;10.395;5.27;3.817;6.587;4.997;4.042;7.0635;4.984;3.686;6.921;5.265;3.494;7.534
bta2_1;25.358;51.391;39.823;28.761;54.398;35.96;32.56;62.148;41.0215;40.764;63.538;41.118;34.509;53.16;48.455;58.926;54.471;46.177;23.421;12.11;16.709;26.43;20.255;32.171;33.23;46.862;33.022;33.343;57.728;40.5835;34.893;58.725;44.481;35.849;48.243;46.123
